PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.904 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.421 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.295 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.636 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.827 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.929 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1.33 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.658 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.513 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.896 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.658 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.771 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.427 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.495 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=0.735 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=0.366 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=0.652 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=0.623 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=0.705 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.896 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=1.24 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=1.28 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=1.64 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=1.09 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=1.60 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=1.53 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.940 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=1.47 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=1.80 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=1.53 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=1.89 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=1.64 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=0.726 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.727 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=1.23 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.826 ms
