PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1.16 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.587 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.962 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.465 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.538 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.509 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.393 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.444 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.414 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.585 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.475 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.672 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.430 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.584 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.290 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.681 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=0.450 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.347 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.350 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.317 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.501 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.376 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.566 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.397 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.334 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.386 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.316 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.377 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.472 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=0.565 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=0.710 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.492 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.433 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.348 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.706 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.430 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=0.370 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.274 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=0.293 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.423 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.459 ms
