PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.777 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.614 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.453 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.677 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.799 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.522 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.478 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.403 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.580 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.417 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.386 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.354 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.656 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.866 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.804 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=1.90 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=2.20 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=2.84 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=1.55 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=1.00 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.833 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=1.33 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=1.38 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.859 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.961 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.759 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.563 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.778 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.617 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.814 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=1.11 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=1.42 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=2.29 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=1.35 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.867 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.577 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=0.492 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=0.794 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.518 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.592 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.447 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.408 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=1.14 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=8.12 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.569 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.786 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=0.963 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=0.614 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.750 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.541 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.461 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.754 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.425 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.294 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=0.329 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=0.367 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.876 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.496 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.632 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=0.574 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=0.408 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.974 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=0.485 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=0.317 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=0.608 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=0.558 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=0.542 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=0.433 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=0.519 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.714 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.536 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=0.489 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.600 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.531 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=0.333 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=0.488 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=0.413 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=0.557 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=0.651 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=0.666 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=0.482 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=0.370 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.631 ms
64 bytes from 10.0.0.2: icmp_seq=182 ttl=64 time=0.506 ms
64 bytes from 10.0.0.2: icmp_seq=183 ttl=64 time=0.606 ms
64 bytes from 10.0.0.2: icmp_seq=184 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=185 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_seq=186 ttl=64 time=0.711 ms
64 bytes from 10.0.0.2: icmp_seq=187 ttl=64 time=0.600 ms
64 bytes from 10.0.0.2: icmp_seq=188 ttl=64 time=0.504 ms
64 bytes from 10.0.0.2: icmp_seq=189 ttl=64 time=0.560 ms
64 bytes from 10.0.0.2: icmp_seq=190 ttl=64 time=0.526 ms
