packets_sent,packets_received,packet_loss_pct,evidence_level,mode,repetition,failure,failure_to_detection_us,failure_to_repair_start_us,repair_action_us,repaired_path,repair_failed,agent_event_count
80,70,12.5,measured_emulation_autonomous_agent,autonomous_agent,1,s1-s2 link down,4375.428,4427.094,283875.247,"s1,s3,s4",False,19
80,71,11.25,measured_emulation_autonomous_agent,autonomous_agent,2,s1-s2 link down,4684.092,4720.925,246658.509,"s1,s3,s4",False,19
80,72,10.0,measured_emulation_autonomous_agent,autonomous_agent,3,s1-s2 link down,4916.465,5038.298,241865.21,"s1,s3,s4",False,19
80,68,15.0,measured_emulation_autonomous_agent,autonomous_agent,4,s1-s2 link down,4869.299,4954.381,358150.89,"s1,s3,s4",False,20
80,73,8.75,measured_emulation_autonomous_agent,autonomous_agent,5,s1-s2 link down,3949.305,4045.513,220087.863,"s1,s3,s4",False,19
