PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=7.63 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.951 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=7.16 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1.40 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1.24 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=5.35 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=2.32 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=5.67 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=2.94 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=1.47 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.725 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=3.62 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1.49 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=2.03 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1.44 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=4.77 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.687 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=6.91 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1.00 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.703 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.921 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=4.69 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=7.42 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1.08 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=1.67 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=1.95 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=5.04 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=1.91 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=4.00 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1.06 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=9.05 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.707 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=3.67 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=6.75 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=2.55 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=1.22 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=4.52 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=4.37 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=3.54 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=1.80 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.832 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=1.72 ms
