PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1.84 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.680 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1.29 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=1.20 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.712 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1.20 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.878 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.970 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.716 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.735 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=1.77 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.729 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.738 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.692 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.932 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.735 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.989 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1.07 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.646 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=1.38 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1.39 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=1.18 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.886 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=0.871 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.896 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=1.10 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=7.21 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=1.55 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=1.07 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=1.77 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.797 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.900 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=1.08 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=1.80 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1.95 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.948 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.872 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.897 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=5.12 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=4.82 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1.31 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=1.19 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.878 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=0.716 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=0.768 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1.07 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=0.669 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=0.933 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=1.25 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.876 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=0.925 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.713 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=1.34 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=1.15 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=2.57 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.658 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.879 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=3.32 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.669 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.826 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1.26 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.664 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=2.34 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.884 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=1.05 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.884 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.684 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.863 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=1.17 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.865 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=1.22 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.750 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=1.27 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.935 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.677 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.792 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.711 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=1.41 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=2.53 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.778 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.936 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.878 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.906 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.717 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=2.69 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.709 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.731 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=2.72 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.836 ms
