PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.453 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.341 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=0.375 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.349 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.297 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.305 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.439 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.290 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.319 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.359 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.314 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.417 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=0.322 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.349 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.435 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.339 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.384 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.443 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.336 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.324 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.348 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.406 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.328 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.433 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.379 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.315 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.419 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=0.568 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=1.50 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=3.10 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.557 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.463 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.586 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.476 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.313 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=0.418 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.317 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.331 ms
