PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=7.81 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=2.08 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1.39 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=2.44 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=1.44 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=2.92 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=8.38 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=14.7 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=3.86 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=7.19 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=5.41 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.746 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1.65 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=1.15 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=1.42 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=6.13 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=2.09 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=1.10 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=8.90 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=1.86 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=48.1 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=110 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=87.1 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=66.4 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=37.4 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=32.7 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=144 ms
