PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=4.31 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.868 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=1.17 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.845 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1.16 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.908 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=1.36 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.850 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=1.68 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.903 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.888 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=1.52 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=1.13 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=2.61 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.934 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.800 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.954 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=2.38 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=1.99 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.675 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=1.51 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=1.48 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=1.76 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=1.80 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=1.62 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.577 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.788 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=1.68 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.688 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.993 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=1.67 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.779 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=1.45 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.750 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.760 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=1.41 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.657 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1.23 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.822 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=1.25 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=0.946 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.840 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=1.43 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=1.20 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=0.771 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.820 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=0.875 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=0.769 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=0.798 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=1.42 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=4.18 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.745 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=0.694 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.864 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=0.798 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=1.71 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=1.50 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=1.75 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=0.772 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.980 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=1.15 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.956 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.753 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.718 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1.30 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=1.31 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.998 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=1.04 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.927 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.668 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=1.05 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=9.75 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.708 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=14.4 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.922 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=1.88 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.954 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=2.53 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.983 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.846 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=1.21 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.742 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.903 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.723 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=1.15 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.714 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.740 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.898 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.834 ms
