PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=0.981 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.678 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.399 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.359 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.498 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.482 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.377 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.434 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.559 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.979 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=1.32 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=1.16 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.702 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.927 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.470 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.542 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=0.727 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=0.272 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=0.333 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=0.415 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=0.298 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=0.302 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=0.378 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.450 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.306 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.604 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.311 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.283 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=0.328 ms
