PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=1.99 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.371 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.467 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=0.344 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.448 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.329 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.378 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.475 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.389 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.443 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.310 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.325 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.368 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.390 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.436 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.356 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.362 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.372 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.395 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=0.394 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=0.442 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=0.539 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=0.396 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.416 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=0.346 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.419 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.630 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.824 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.523 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.503 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.679 ms
