PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=2.60 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=0.685 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=0.658 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=1.57 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=0.579 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=0.552 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=0.618 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=0.319 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=0.559 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=0.634 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=0.346 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=0.307 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=0.317 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=0.326 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=0.302 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=0.341 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=0.295 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=0.519 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=0.741 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=0.751 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=0.392 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=0.448 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=0.672 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=0.512 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=0.480 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=0.330 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=0.532 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=1.14 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=0.892 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=1.73 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=0.783 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=8.64 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=0.902 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=0.864 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=0.617 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=0.560 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=0.930 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=0.684 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=0.686 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=0.940 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=0.686 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=0.890 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=0.611 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=0.272 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=1.00 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=0.583 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=0.473 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=1.13 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=0.739 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=0.590 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=0.698 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=0.581 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=1.14 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=0.563 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=0.797 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=0.726 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=0.732 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=0.561 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=0.598 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=0.982 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=0.481 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=0.897 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=0.819 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=0.567 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=0.458 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=1.14 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=0.657 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=0.564 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=0.531 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=0.849 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=0.882 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=0.732 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=0.568 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=0.980 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=1.03 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=0.500 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=0.640 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=0.421 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=0.862 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=0.666 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=0.851 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=0.631 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=0.597 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=0.770 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=0.611 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=0.506 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=0.917 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=0.547 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=0.685 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=0.384 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=0.559 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=0.541 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=0.312 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=0.357 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=0.352 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=0.252 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=0.462 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=0.309 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=0.468 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=0.366 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=0.494 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=0.477 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=0.455 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=0.299 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=0.308 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=0.596 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=0.335 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=0.491 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=0.667 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=0.986 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=0.497 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=0.620 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=0.558 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=0.653 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=0.662 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=0.587 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=0.512 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=1.01 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=0.416 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=0.412 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=0.460 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=0.503 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=0.309 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=0.435 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=0.334 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=0.361 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=0.361 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=0.332 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=0.670 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=0.628 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=0.888 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=0.630 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=0.613 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=0.634 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=0.341 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=0.452 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=0.385 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=0.398 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=0.454 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=0.437 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=0.489 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=1.44 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=1.70 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=2.06 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=1.24 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=1.02 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=0.680 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=0.837 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=0.588 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=0.753 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=0.493 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=0.554 ms
64 bytes from 10.0.0.2: icmp_seq=173 ttl=64 time=0.428 ms
64 bytes from 10.0.0.2: icmp_seq=174 ttl=64 time=0.368 ms
64 bytes from 10.0.0.2: icmp_seq=175 ttl=64 time=0.293 ms
64 bytes from 10.0.0.2: icmp_seq=176 ttl=64 time=0.349 ms
64 bytes from 10.0.0.2: icmp_seq=177 ttl=64 time=0.551 ms
64 bytes from 10.0.0.2: icmp_seq=178 ttl=64 time=0.783 ms
64 bytes from 10.0.0.2: icmp_seq=179 ttl=64 time=0.712 ms
64 bytes from 10.0.0.2: icmp_seq=180 ttl=64 time=0.769 ms
64 bytes from 10.0.0.2: icmp_seq=181 ttl=64 time=0.516 ms
